bblid,scanid
103679,10110
105979,10067
110168,10095
110828,10134
112061,10056
112126,9968
113111,9958
114713,10107
114990,10096
116019,10078
116051,10098
116210,10102
116360,10097
117226,10074
118393,10094
118864,10127
118990,10156
119302,10122
119791,10082
121085,10015
121670,10158
122916,10114
125535,10150
125554,10058
126903,10112
127305,10152
127542,10115
128061,10153
129405,10136
129926,10111
130211,10106
130759,10137
130896,9956
132224,10151
139272,10109
81760,10132
82051,9947
82492,10046
82790,10059
83010,10101
83454,10161
83999,10099
84103,9970
84973,10075
85173,10069
85853,10103
86287,10083
86350,9955
86444,10076
86924,10035
87135,9969
87457,10081
87538,9942
87804,10026
87990,9995
88209,10057
88608,10165
90060,10180
90262,10131
90281,10147
90683,10142
91919,10117
92554,10133
93051,10149
93169,10113
93278,10148
93292,10145
93406,10138
93734,10092
93787,10163
94848,10121
98314,10120
98394,10025
98831,10084
99352,10126
99964,10105
